TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1596717196446	118.720306	-4.720195	-14.993008	0.981594	0.001665	0.008566	-0.190779	img_front_left_0_1596717196446422000.png
1596717196709	119.525093	-5.045312	-15.008159	0.981594	0.001665	0.008566	-0.190779	img_front_left_0_1596717196709315000.png
1596717196971	119.849724	-4.241738	-15.008159	0.981594	0.001665	0.008566	-0.190778	img_front_left_0_1596717196971088000.png
1596717197237	120.336967	-3.035605	-15.008159	0.981595	0.001665	0.008566	-0.190777	img_front_left_0_1596717197237438000.png
1596717197502	121.986794	-3.702090	-15.039213	0.981595	0.001665	0.008566	-0.190776	img_front_left_0_1596717197501525000.png
1596717197769	123.231186	-4.204765	-15.062636	0.981595	0.001665	0.008566	-0.190776	img_front_left_0_1596717197769020000.png
1596717198036	123.231186	-4.204765	-15.062636	0.981595	0.001665	0.008566	-0.190776	img_front_left_0_1596717198036160000.png
1596717198303	123.231186	-4.204765	-15.062636	0.981595	-0.001665	-0.008566	-0.190775	img_front_left_0_1596717198302738000.png
1596717198572	123.686363	-4.388633	-15.054067	0.981595	-0.001665	-0.008566	-0.190775	img_front_left_0_1596717198571698000.png
1596717198848	124.893959	-4.876465	-15.031328	0.981595	-0.001665	-0.008566	-0.190774	img_front_left_0_1596717198847559000.png
1596717199119	125.296791	-5.039199	-15.023745	0.981595	-0.001665	-0.008566	-0.190774	img_front_left_0_1596717199119058000.png
1596717199383	126.503822	-5.526777	-15.001020	0.981595	-0.001665	-0.008566	-0.190773	img_front_left_0_1596717199383041000.png
1596717199664	127.835991	-6.064922	-14.975942	0.981595	-0.001665	-0.008566	-0.190773	img_front_left_0_1596717199664274000.png
1596717199932	129.044662	-6.553164	-14.953188	0.981596	-0.001665	-0.008566	-0.190772	img_front_left_0_1596717199931855000.png
1596717200203	130.337753	-7.075527	-14.928843	0.981596	-0.001665	-0.008566	-0.190771	img_front_left_0_1596717200202976000.png
1596717200474	130.740433	-7.238183	-14.944009	0.981484	0.003329	0.017132	-0.190748	img_front_left_0_1596717200473504000.png
1596717200752	132.020660	-7.755332	-14.992221	0.981484	0.003329	0.017132	-0.190748	img_front_left_0_1596717200751845000.png
1596717201028	133.726654	-8.444472	-15.056475	0.981484	0.003329	0.017132	-0.190747	img_front_left_0_1596717201027936000.png
1596717201305	134.935394	-8.932754	-15.101996	0.981484	0.003329	0.017132	-0.190746	img_front_left_0_1596717201305066000.png
1596717201574	135.852051	-9.303046	-15.136518	0.981484	0.003329	0.017132	-0.190746	img_front_left_0_1596717201573883000.png
